Seed,Lower Cutoff Value,Upper Cutoff Value,Strategy,Metric,Task 1 - 1,Task 1 - 2,Task 1 - 3,Task 1 - 4,Task 2 - 1,Task 2 - 2,Task 2 - 3,Task 2 - 4,Task 3 - 1,Task 3 - 2,Task 3 - 3,Task 3 - 4,Task 4 - 1,Task 4 - 2,Task 4 - 3,Task 4 - 4
31,35,35,simple_sorted,learning_speed,0.1167181964210514,0.13362326836503502,0.13302164353537077,0.12455156093414503,0.05092846520650694,0.039936682624598284,0.04196594280636413,0.04019031060117705,0.058609663021782187,0.06799654757442168,0.05016184202794812,0.05041391802018825,0.0882665422435828,0.11758553244041788,0.12019478291097464,0.06574290744916395
31,35,35,simple_sorted,mc_variance,0.1167181964210514,0.10416304752842012,0.10288451558224823,0.09608999679893535,0.05092846520650694,0.04036770276832034,0.0405240486549443,0.04010696219851431,0.058609663021782187,0.06513782410444842,0.04942564160769726,0.05016742645869548,0.0882665422435828,0.1101610227863072,0.11026375613418685,0.06567906285315928
31,35,50,uniform,-,0.1167181964210514,0.10601456296131626,0.10409108636642056,0.09838278471569112,0.05092846520650694,0.04018491851566173,0.03994062773477724,0.04047587881115583,0.058609663021782187,0.06516452645754114,0.0506765196913174,0.05130169249135087,0.0882665422435828,0.10837521464042439,0.11044395906751892,0.06796383084857394
31,35,50,simple_sorted,vog,0.1167181964210514,0.10788698297765546,0.1019394100743594,0.0956858579793073,0.05092846520650694,0.04010559590293206,0.03869642432576264,0.038215005841842696,0.058609663021782187,0.06507175735300526,0.04954706039228159,0.051369574760031685,0.0882665422435828,0.10911675216172674,0.10956191958050832,0.06551740562986062
31,35,50,simple_sorted,learning_speed,0.1167181964210514,0.130067801864443,0.12690639330854053,0.13249358444949275,0.05092846520650694,0.03921439244617364,0.03815295880708448,0.04013759891761408,0.058609663021782187,0.06660240021079168,0.04848465044721425,0.05090357608140735,0.0882665422435828,0.11758046089314758,0.12084298049537044,0.06485208137096263
31,35,50,simple_sorted,mc_variance,0.1167181964210514,0.10334299674908595,0.09958967841973826,0.09385435851092865,0.05092846520650694,0.040842342240079425,0.04085267109310729,0.04005391515770068,0.058609663021782187,0.06910517688079902,0.04990266701366338,0.049807877882317275,0.0882665422435828,0.11445564382905342,0.10939519525979498,0.06567345866988357
42,20,20,uniform,-,0.09266583741565654,0.08652603643929316,0.08572576756649422,0.08402082994322463,0.0691692960296456,0.040449253604200305,0.04104236886972684,0.041301901156034715,0.058035398690688654,0.06488924878832379,0.04784477627864515,0.05246393464188188,0.2799972377732133,0.233156264179582,0.23912634362406252,0.0656687836281677
42,20,20,simple_sorted,vog,0.09266583741565654,0.08758916680434524,0.08297717447511878,0.09337330819119101,0.0691692960296456,0.040743085716378726,0.03937067452679391,0.04138942632429238,0.058035398690688654,0.06554251358399552,0.04706233017472319,0.05122681368630963,0.2799972377732133,0.22820790015409878,0.24096312457311364,0.06790157941797627
42,20,20,simple_sorted,learning_speed,0.09266583741565654,0.08496965162246108,0.07769335418188271,0.08849356702454775,0.0691692960296456,0.039854050365764976,0.04143704302331438,0.041790215607017366,0.058035398690688654,0.06663486696305562,0.04634485610229374,0.0519775402235866,0.2799972377732133,0.23699467823875442,0.24060937885216974,0.06663303689076062
42,20,20,simple_sorted,mc_variance,0.09266583741565654,0.08280826663829523,0.08137974253516356,0.07841185255328795,0.0691692960296456,0.04046152895022941,0.03912554928088256,0.039975318936017315,0.058035398690688654,0.06816269722048195,0.047761106068875556,0.04939280601252359,0.2799972377732133,0.2313384733406172,0.24575556846873464,0.0654561523721354
42,20,35,uniform,-,0.09266583741565654,0.08652603643929316,0.08572576756649422,0.08402082994322463,0.0691692960296456,0.040449253604200305,0.04104236886972684,0.041301901156034715,0.058035398690688654,0.06488924878832379,0.04784477627864515,0.05246393464188188,0.2799972377732133,0.233156264179582,0.23912634362406252,0.0656687836281677
42,20,35,simple_sorted,vog,0.09266583741565654,0.08876169900521746,0.082186870273245,0.0783802461223442,0.0691692960296456,0.04078453857782577,0.0403001979292293,0.03885571956634522,0.058035398690688654,0.06496595096113145,0.047404837694099485,0.04983783995306947,0.2799972377732133,0.23062958698609956,0.24630545398809586,0.06447759481450664
42,20,35,simple_sorted,learning_speed,0.09266583741565654,0.08549309047919597,0.0958425097104882,0.08541037078193668,0.0691692960296456,0.04019976768930867,0.04343776593577213,0.04196083320246043,0.058035398690688654,0.06818504556477499,0.0485396886571178,0.052652632589820475,0.2799972377732133,0.22948514736003164,0.2342707796977405,0.0649000173233347
42,20,35,simple_sorted,mc_variance,0.09266583741565654,0.07925690027728154,0.07434423006352846,0.07905117898545994,0.0691692960296456,0.03996280394174308,0.03888186520355137,0.040298484867828284,0.058035398690688654,0.0672600839305597,0.04710137929847772,0.050752301867917286,0.2799972377732133,0.23412238076065753,0.25397321564275294,0.06582145811532476
